"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","British Columbia","2021A000259","Labour force","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368453","11.1.1.1.1","2737.2","","","","1"
"2019","British Columbia","2021A000259","Labour force","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368453","11.1.1.1.1","2816.7","","","","1"
"2020","British Columbia","2021A000259","Labour force","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368453","11.1.1.1.1","2781.1","","","","1"
"2021","British Columbia","2021A000259","Labour force","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368453","11.1.1.1.1","2872.4","","","","1"
"2022","British Columbia","2021A000259","Labour force","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368453","11.1.1.1.1","2911.0","","","","1"
"2023","British Columbia","2021A000259","Labour force","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368453","11.1.1.1.1","3003.9","","","","1"
"2024","British Columbia","2021A000259","Labour force","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368453","11.1.1.1.1","3085.9","","","","1"
"2025","British Columbia","2021A000259","Labour force","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368453","11.1.1.1.1","3140.8","","","","1"
"2018","British Columbia","2021A000259","Labour force","Total, all industries","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v19683372","11.1.1.1.2","399.1","","","","1"
"2019","British Columbia","2021A000259","Labour force","Total, all industries","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v19683372","11.1.1.1.2","407.1","","","","1"
"2020","British Columbia","2021A000259","Labour force","Total, all industries","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v19683372","11.1.1.1.2","375.5","","","","1"
"2021","British Columbia","2021A000259","Labour force","Total, all industries","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v19683372","11.1.1.1.2","389.2","","","","1"
"2022","British Columbia","2021A000259","Labour force","Total, all industries","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v19683372","11.1.1.1.2","394.6","","","","1"
"2023","British Columbia","2021A000259","Labour force","Total, all industries","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v19683372","11.1.1.1.2","401.5","","","","1"
"2024","British Columbia","2021A000259","Labour force","Total, all industries","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v19683372","11.1.1.1.2","411.5","","","","1"
"2025","British Columbia","2021A000259","Labour force","Total, all industries","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v19683372","11.1.1.1.2","406.4","","","","1"
"2018","British Columbia","2021A000259","Labour force","Total, all industries","Total - Gender","25 to 54 years","Persons in thousands","428","thousands","3","v19683373","11.1.1.1.3","1744.5","","","","1"
"2019","British Columbia","2021A000259","Labour force","Total, all industries","Total - Gender","25 to 54 years","Persons in thousands","428","thousands","3","v19683373","11.1.1.1.3","1789.3","","","","1"
