"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023","British Columbia","2021A000259","Full-time employment","Total, all industries","Women+","25 to 54 years","Persons in thousands","428","thousands","3","v19683892","11.3.1.3.3","726.6","","","","1"
"2024","British Columbia","2021A000259","Full-time employment","Total, all industries","Women+","25 to 54 years","Persons in thousands","428","thousands","3","v19683892","11.3.1.3.3","740.8","","","","1"
"2025","British Columbia","2021A000259","Full-time employment","Total, all industries","Women+","25 to 54 years","Persons in thousands","428","thousands","3","v19683892","11.3.1.3.3","765.4","","","","1"
"2018","British Columbia","2021A000259","Full-time employment","Total, all industries","Women+","55 years and over","Persons in thousands","428","thousands","3","v19683893","11.3.1.3.4","170.2","","","","1"
"2019","British Columbia","2021A000259","Full-time employment","Total, all industries","Women+","55 years and over","Persons in thousands","428","thousands","3","v19683893","11.3.1.3.4","176.0","","","","1"
"2020","British Columbia","2021A000259","Full-time employment","Total, all industries","Women+","55 years and over","Persons in thousands","428","thousands","3","v19683893","11.3.1.3.4","164.9","","","","1"
"2021","British Columbia","2021A000259","Full-time employment","Total, all industries","Women+","55 years and over","Persons in thousands","428","thousands","3","v19683893","11.3.1.3.4","171.1","","","","1"
"2022","British Columbia","2021A000259","Full-time employment","Total, all industries","Women+","55 years and over","Persons in thousands","428","thousands","3","v19683893","11.3.1.3.4","181.7","","","","1"
"2023","British Columbia","2021A000259","Full-time employment","Total, all industries","Women+","55 years and over","Persons in thousands","428","thousands","3","v19683893","11.3.1.3.4","194.5","","","","1"
"2024","British Columbia","2021A000259","Full-time employment","Total, all industries","Women+","55 years and over","Persons in thousands","428","thousands","3","v19683893","11.3.1.3.4","189.3","","","","1"
"2025","British Columbia","2021A000259","Full-time employment","Total, all industries","Women+","55 years and over","Persons in thousands","428","thousands","3","v19683893","11.3.1.3.4","184.2","","","","1"
"2018","British Columbia","2021A000259","Part-time employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368538","11.4.1.1.1","554.4","","","","1"
"2019","British Columbia","2021A000259","Part-time employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368538","11.4.1.1.1","583.1","","","","1"
